BotName,CardName,PlayerHealth,Win
Backtrack-Depth5,Insightful Scrounge,45,True
Backtrack-Depth5,Insightful Scrounge,38,True
Backtrack-Depth5,Insightful Scrounge,45,True
Backtrack-Depth5,Insightful Scrounge,40,True
Backtrack-Depth5,Insightful Think,46,True
Backtrack-Depth5,Insightful Think,41,True
Backtrack-Depth5,Insightful Think,46,True
Backtrack-Depth5,Insightful Think,29,True
Backtrack-Depth5,Insightful Think,36,True
Backtrack-Depth5,Insightful Think,36,True
Backtrack-Depth5,Insightful Think,41,True
Backtrack-Depth5,Insightful Think,36,True
Backtrack-Depth5,Insightful Think,46,True
Backtrack-Depth5,Insightful Think,39,True
Backtrack-Depth5,Quick Strike,29,True
Backtrack-Depth5,Quick Strike,31,True
Backtrack-Depth5,Quick Strike,41,True
Backtrack-Depth5,Quick Strike,41,True
Backtrack-Depth5,Quick Strike,41,True
Backtrack-Depth5,Quick Strike,41,True
Backtrack-Depth5,Quick Strike,36,True
Backtrack-Depth5,Quick Strike,41,True
Backtrack-Depth5,Quick Strike,41,True
Backtrack-Depth5,Quick Strike,48,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Shielding Lunge,34,True
Backtrack-Depth5,Shielding Lunge,46,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Shielding Lunge,41,True
Backtrack-Depth5,Shielding Lunge,41,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Shielding Lunge,41,True
Backtrack-Depth5,Shielding Lunge,41,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Shielding Lunge,36,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Shielding Lunge,41,True
Backtrack-Depth5,Shielding Lunge,41,True
Backtrack-Depth5,Shielding Lunge,36,True
Backtrack-Depth5,Shielding Lunge,48,True
Backtrack-Depth5,Sudden Plan,52,True
Backtrack-Depth5,Sudden Plan,40,True
Backtrack-Depth5,Sudden Plan,48,True
Backtrack-Depth5,Sudden Plan,47,True
Backtrack-Depth5,Sudden Plan,34,True
Backtrack-Depth5,Sudden Plan,44,True
Backtrack-Depth5,Sudden Plan,47,True
Backtrack-Depth5,Sudden Plan,35,True
Backtrack-Depth5,Sudden Plan,52,True
Backtrack-Depth5,Sudden Plan,30,True
Backtrack-Depth5,Weakening Maneuver,41,True
Backtrack-Depth5,Weakening Maneuver,46,True
Backtrack-Depth5,Weakening Maneuver,41,True
Backtrack-Depth5,Weakening Maneuver,46,True
Backtrack-Depth5,Weakening Maneuver,29,True
Backtrack-Depth5,Weakening Maneuver,46,True
Backtrack-Depth5,Weakening Maneuver,41,True
Backtrack-Depth5,Weakening Maneuver,39,True
Backtrack-Depth5,Weakening Maneuver,36,True
Backtrack-Depth5,Weakening Maneuver,41,True
Backtrack-Depth5,control,41,True
Backtrack-Depth5,control,39,True
Backtrack-Depth5,control,46,True
Backtrack-Depth5,control,46,True
Backtrack-Depth5,control,48,True
Backtrack-Depth5,control,41,True
Backtrack-Depth5,control,46,True
Backtrack-Depth5,control,36,True
Backtrack-Depth5,control,41,True
Backtrack-Depth5,control,31,True
