Scenario,BotName,PlayerHealth,Win,TotalRequests,InvalidResponses,TotalTokens,AvgResponseTime,InvalidRate
Batter Stim,None-gpt41,14,True,22,0,9854,0.6153548088940707,0.0
Batter Stim,None-gpt41,9,True,21,0,8860,0.6812522979009719,0.0
Batter Stim,None-gpt41,14,True,21,0,9530,0.5936943008786156,0.0
Batter Stim,None-gpt41,36,True,15,0,7634,0.5481547037760417,0.0
Batter Stim,None-gpt41,0,False,28,0,11730,0.5508463127272469,0.0
Batter Stim,None-gpt41,63,True,6,0,4774,0.8035619656244913,0.0
Batter Stim,None-gpt41,14,True,21,0,9518,0.51933715457008,0.0
Batter Stim,None-gpt41,36,True,14,0,7314,0.5907940864562988,0.0
Batter Stim,None-gpt41,80,True,3,0,3110,0.829791784286499,0.0
Batter Stim,MCTSAgent,63,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,41,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,58,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,14,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,53,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,63,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,4,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,36,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,58,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,41,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,31,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,9,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,63,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,58,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,46,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,58,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,58,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,14,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,14,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,0,False,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,36,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,4,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,36,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,36,True,0,0,0,0.0,0.0
Batter Stim,MCTSAgent,26,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,68,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,63,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,80,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,41,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,31,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,80,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,63,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,41,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,26,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,63,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,36,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,80,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,31,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,53,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,80,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,48,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,80,True,0,0,0,0.0,0.0
Batter Stim,Backtrack-Depth3,58,True,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,2,True,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,14,True,0,0,0,0.0,0.0
Batter Stim,RandomBot,41,True,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,63,True,0,0,0,0.0,0.0
Batter Stim,RandomBot,48,True,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,19,True,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,58,True,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,0,False,0,0,0,0.0,0.0
Batter Stim,RandomBot,80,True,0,0,0,0.0,0.0
Suffer,RCoT-gpt41,46,True,13,0,3776,2.2803779198573184,0.0
Suffer,RCoT-gpt41,41,True,13,0,3897,2.324976077446571,0.0
Suffer,RCoT-gpt41,53,True,9,0,2728,2.951359828313192,0.0
Suffer,RCoT-gpt41,58,True,10,0,3015,2.5164108276367188,0.0
Suffer,RCoT-gpt41,36,True,13,0,3890,2.9920032024383545,0.0
Suffer,RCoT-gpt41,36,True,13,0,3809,2.6233145273648777,0.0
Suffer,RCoT-gpt41,41,True,13,0,3818,2.5879214910360484,0.0
Suffer,RCoT-gpt41,41,True,13,0,3776,2.6545055646162767,0.0
Suffer,RCoT-gpt41,46,True,13,0,3888,2.372353902229896,0.0
Suffer,RCoT-gpt41,46,True,13,0,3846,2.698185847355769,0.0
Suffer,RCoT-gpt41,41,True,13,0,3781,2.487702626448411,0.0
Suffer,RCoT-gpt41,58,True,10,0,2909,2.014367198944092,0.0
Suffer,RCoT-gpt41,41,True,13,0,3807,2.8080021968254676,0.0
Suffer,RCoT-gpt41,36,True,13,0,3898,2.535730618696946,0.0
Suffer,RCoT-gpt41,51,True,14,0,4190,2.764163408960615,0.0
Suffer,RCoT-gpt41,46,True,13,0,3832,2.4900415493891788,0.0
Suffer,RCoT-gpt41,46,True,13,0,3788,2.593570727568406,0.0
Suffer,RCoT-gpt41,41,True,13,0,3864,3.2198542081392727,0.0
Suffer,RCoT-gpt41,41,True,13,0,3670,2.607903003692627,0.0
Suffer,RCoT-gpt41,53,True,9,0,2661,2.328973505232069,0.0
Suffer,RCoT-gpt41,36,True,13,0,3959,2.635935123150165,0.0
Suffer,RCoT-gpt41,46,True,13,0,3739,2.1821158665877123,0.0
